runID,conditionID,renderGeneration,labelID,text,stringLength,containerWidth,dynamicTypeSize,minimumScaleFactor,lineLimit,incomingProposalWidth,incomingProposalHeight,childProposalWidth,childProposalHeight,measuredWidth,measuredHeight,idealWidth,idealHeight,zeroWidth,zeroHeight,infinityWidth,infinityHeight,finalWidth,finalHeight,actualGlyphScale
threshold,200-none-large,0,,Morning Interval Training Session,33,200.0,large,none,1,200.0,0.0,200.0,,192.66666666666666,20.333333333333332,264.3333333333333,20.333333333333332,0.0,0.0,264.3333333333333,20.333333333333332,192.66666666666666,20.333333333333332,unavailable
threshold,200-none-xxxLarge,0,,Morning Interval Training Session,33,200.0,xxxLarge,none,1,200.0,0.0,200.0,,186.66666666666666,27.666666666666664,345.66666666666663,27.666666666666664,0.0,0.0,345.66666666666663,27.666666666666664,186.66666666666666,27.666666666666664,unavailable
threshold,200-none-accessibility1,0,,Morning Interval Training Session,33,200.0,accessibility1,none,1,200.0,0.0,200.0,,189.0,33.666666666666664,421.0,33.666666666666664,0.0,0.0,421.0,33.666666666666664,189.0,33.666666666666664,unavailable
threshold,200-none-accessibility3,0,,Morning Interval Training Session,33,200.0,accessibility3,none,1,200.0,0.0,200.0,,194.66666666666666,48.0,595.6666666666666,48.0,0.0,0.0,595.6666666666666,48.0,194.66666666666666,48.0,unavailable
threshold,200-none-accessibility5,0,,Morning Interval Training Session,33,200.0,accessibility5,none,1,200.0,0.0,200.0,,170.66666666666666,63.33333333333333,783.0,63.33333333333333,0.0,0.0,783.0,63.33333333333333,170.66666666666666,63.33333333333333,unavailable
threshold,200-0.8-large,0,,Morning Interval Training Session,33,200.0,large,0.8,1,200.0,0.0,200.0,,195.33333333333331,16.333333333333332,264.3333333333333,20.333333333333332,0.0,0.0,264.3333333333333,20.333333333333332,195.33333333333331,16.333333333333332,unavailable
threshold,200-0.8-xxxLarge,0,,Morning Interval Training Session,33,200.0,xxxLarge,0.8,1,200.0,0.0,200.0,,193.0,22.333333333333332,345.66666666666663,27.666666666666664,0.0,0.0,345.66666666666663,27.666666666666664,193.0,22.333333333333332,unavailable
threshold,200-0.8-accessibility1,0,,Morning Interval Training Session,33,200.0,accessibility1,0.8,1,200.0,0.0,200.0,,200.0,27.0,421.0,33.666666666666664,0.0,0.0,421.0,33.666666666666664,200.0,27.0,unavailable
threshold,200-0.8-accessibility3,0,,Morning Interval Training Session,33,200.0,accessibility3,0.8,1,200.0,0.0,200.0,,186.0,38.33333333333333,595.6666666666666,48.0,0.0,0.0,595.6666666666666,48.0,186.0,38.33333333333333,unavailable
threshold,200-0.8-accessibility5,0,,Morning Interval Training Session,33,200.0,accessibility5,0.8,1,200.0,0.0,200.0,,186.66666666666666,51.0,783.0,63.33333333333333,0.0,0.0,783.0,63.33333333333333,186.66666666666666,51.0,unavailable
threshold,200-0.5-large,0,,Morning Interval Training Session,33,200.0,large,0.5,1,200.0,0.0,200.0,,196.66666666666666,14.333333333333332,264.3333333333333,20.333333333333332,0.0,0.0,264.3333333333333,20.333333333333332,196.66666666666666,14.333333333333332,unavailable
threshold,200-0.5-xxxLarge,0,,Morning Interval Training Session,33,200.0,xxxLarge,0.5,1,200.0,0.0,200.0,,196.66666666666666,14.333333333333332,345.66666666666663,27.666666666666664,0.0,0.0,345.66666666666663,27.666666666666664,196.66666666666666,14.333333333333332,unavailable
